dataset,number of samples,operating system,reboot first execution time (seconds),energy consumption (kWh) first,common execution time (seconds),MCC,energy consumption (kWh),energy consumption technology,programming language and version,target column
diabetes type one,67,Microsoft Windows 11 Home versione 10.0.26200,1.225018,0.00005006631500,0.6165,0.1316091454,0.000008726494634,CodeCarbon,Perl v5.42.0,insulin_regimen_binary
neuroblastoma,169,Microsoft Windows 11 Home versione 10.0.26200,3.165564,0.00011030460958,1.6530,0.4741771184,0.00001304005429,CodeCarbon,Perl v5.42.0,outcome
sepsis and SIRS,1257,Microsoft Windows 11 Home versione 10.0.26200,151.027657,0.00092000592976,157.1627,0.4388711119,0.0009236152451,CodeCarbon,Perl v5.42.0,Mortality
cardiac arrest,422,Microsoft Windows 11 Home versione 10.0.26200,5.7024,0.00011970214657,3.9576,0.2783899676,0.00002777261512,CodeCarbon,PYTHON 3.11.4,Cardiac_arrest_at_home
depression and heart failure,425,Microsoft Windows 11 Home versione 10.0.26200,8.64031,0.00014758296945,4.0036,0.8075790342,0.00002617801726,CodeCarbon,PYTHON 3.11.4,"""Hospitalized (1=Yes, 0=No)"""
diabetes type one,67,Microsoft Windows 11 Home versione 10.0.26200,6.45941,0.00010341503656,3.8495,0.1316091454,0.00003328515834,CodeCarbon,PYTHON 3.11.4,insulin_regimen_binary
neuroblastoma,169,Microsoft Windows 11 Home versione 10.0.26200,7.64109,0.00015642455730,3.9384,0.4741771184,0.00003023306722,CodeCarbon,PYTHON 3.11.4,outcome
sepsis and SIRS,1257,Microsoft Windows 11 Home versione 10.0.26200,12.99339,0.00014524279463,6.6195,0.4388711119,0.00004539534029,CodeCarbon,PYTHON 3.11.4,Mortality
cardiac arrest,422,Linux  WSL:UBUNTU versione 24.04.4,2.27768,0.00002899575632,1.4594,0.2783899676,0.00001921540513,CodeCarbon,PYTHON 3.12.3,Cardiac_arrest_at_home
depression and heart failure,425,Linux  WSL:UBUNTU versione 24.04.4,2.99637,0.00003820903104,2.2540,0.8075790342,0.00002874147964,CodeCarbon,PYTHON 3.12.3,"""Hospitalized (1=Yes, 0=No)"""
diabetes type one,67,Linux  WSL:UBUNTU versione 24.04.4,3.39373,0.00005218884933,1.6412,0.1316091454,0.00002156626373,CodeCarbon,PYTHON 3.12.3,insulin_regimen_binary
neuroblastoma,169,Linux  WSL:UBUNTU versione 24.04.4,1.60386,0.00004313574168,1.2237,0.4741771184,0.00001626914573,CodeCarbon,PYTHON 3.12.3,outcome
sepsis and SIRS,1257,Linux  WSL:UBUNTU versione 24.04.4,3.84793,0.00004740666049,3.0615,0.4388711119,0.00003850364588,CodeCarbon,PYTHON 3.12.3,Mortality
cardiac arrest,422,Linux  WSL:UBUNTU versione 24.04.4,5.188771065,0.00006831449048,4.1395,0.2783899676,0.00005116082327,CodeCarbon,Ruby 3.2.3,Cardiac_arrest_at_home
depression and heart failure,425,Linux  WSL:UBUNTU versione 24.04.4,9.011845788,0.00010901669880,10.0170,0.8075790342,0.0001204851532,CodeCarbon,Ruby 3.2.3,"""Hospitalized (1=Yes, 0=No)"""
diabetes type one,67,Linux  WSL:UBUNTU versione 24.04.4,1.01061956,0.00001602993777,0.5487,0.1316091454,0.000007914905412,CodeCarbon,Ruby 3.2.3,insulin_regimen_binary
neuroblastoma,169,Linux  WSL:UBUNTU versione 24.04.4,1.548854017,0.00002258088012,1.1688,0.4741771184,0.00001483243037,CodeCarbon,Ruby 3.2.3,outcome
sepsis and SIRS,1257,Linux  WSL:UBUNTU versione 24.04.4,83.1409545,0.00100884062421,77.9904,0.4388711119,0.0009679576293,CodeCarbon,Ruby 3.2.3,Mortality
cardiac arrest,422,Microsoft Windows 11 Home versione 10.0.26200,4.0337936,0.00003290566356,3.8207,0.2783899676,0.00002489946261,CodeCarbon,Ruby 3.4.8,Cardiac_arrest_at_home
depression and heart failure,425,Microsoft Windows 11 Home versione 10.0.26200,10.2893262,0.00022043483698,7.4420,0.8075790342,0.00004501345642,CodeCarbon,Ruby 3.4.8,"""Hospitalized (1=Yes, 0=No)"""
diabetes type one,67,Microsoft Windows 11 Home versione 10.0.26200,0.5856899,0.00000908663956,0.5083,0.1316091454,0.000007749007286,CodeCarbon,Ruby 3.4.8,insulin_regimen_binary
neuroblastoma,169,Microsoft Windows 11 Home versione 10.0.26200,1.3302956,0.00005359077947,1.1313,0.4741771184,0.0000108840149,CodeCarbon,Ruby 3.4.8,outcome
sepsis and SIRS,1257,Microsoft Windows 11 Home versione 10.0.26200,76.7865036,0.00048988677066,72.8580,0.4388711119,0.0003822596383,CodeCarbon,Ruby 3.4.8,Mortality
